Symbol,ceiling,floor,ref_price,prior_close_price,match_price,match_vol,accumulated_volume,accumulated_value,avg_match_price,highest,lowest,foreign_buy_volume,foreign_sell_volume,current_room,total_room,total_accumulated_value,total_accumulated_volume,reference_price
TBC,42250,36750,39500,39500,39500,400,700,27,39500.00000000001,39500,39500,0,0,30182596,31115000,27.650000000000002,7.0,39500.0
SZL,43850,38150,41000,41000,41050,800,3400,139,41076.4705882353,41350,41000,0,0,0,0,139.66000000000003,34.0,41000.0
SZC,38600,33600,36100,36100,36100,65800,545700,19766,36221.36705149349,36400,36100,50000,4800,30900597,35997172,19766.729999999992,5457.0,36100.0
SVT,11950,10450,11200,11200,11200,100,1400,15,11050.000000000002,11200,11000,0,0,8564235,8655489,15.470000000000002,14.0,11200.0
SVI,72700,63300,68000,68000,0,0,0,0,0.0,0,0,0,0,641790,12832437,0.0,0.0,0.0
SVD,3470,3030,3250,3250,3170,2000,25600,81,3197.8515625000005,3240,3170,0,0,13473901,13526894,81.86500000000001,256.0,3250.0
SVC,26300,22900,24600,24600,26000,200,300,7,25383.333333333336,26000,24150,0,0,31501492,32648976,7.615,3.0,24600.0
STK,28450,24750,26600,26600,26100,100,38300,996,26005.221932114884,26600,25550,0,18630,80594028,96636924,996.1,383.0,26600.0
STG,49000,42600,45800,45800,0,0,0,0,0.0,0,0,0,0,3883500,33406141,0.0,0.0,0.0
STB,36100,31400,33750,33750,33100,1997600,14347400,479060,33390.02188549842,33800,33100,2168300,1502240,116406891,565564714,479060.6000000013,143474.0,33750.0
ST8,8340,7260,7800,7800,7760,12200,238400,1852,7768.456375838926,7840,7740,0,100,12697638,12860451,1852.54,2384.0,7800.0
SSI,29450,25650,27550,27550,27300,1791400,8506100,233929,27501.322580265925,27800,27300,1284400,432099,858659781,1511130137,233929.82999999984,85061.0,27550.0
SSC,35050,30550,32800,32800,0,0,0,0,0.0,0,0,0,0,7220396,7346259,0.0,0.0,32500.0
SSB,19000,16600,17800,17800,17500,104000,2103800,37063,17617.168932408025,17800,17450,4030,118600,138860961,141750000,37063.484999999986,21038.0,17800.0
SRF,9510,8270,8890,8890,9000,100,1500,13,8914.666666666668,9000,8900,0,0,19230380,35566780,13.372000000000002,15.0,8890.0
SRC,29950,26050,28000,28000,29900,100,100,2,29900.000000000004,29900,29900,0,0,0,0,2.99,1.0,28000.0
SPM,11400,9960,10700,10700,10700,700,7900,84,10699.999999999998,10700,10700,0,0,6559410,6860000,84.52999999999999,79.0,10700.0
SMC,7920,6900,7410,7410,7430,15200,432000,3221,7456.018518518518,7530,7400,0,0,58447299,73678587,3221.5739999999983,4320.0,7410.0
SMB,38500,33500,36000,36000,35300,2800,11000,394,35818.181818181816,36050,35300,0,5000,10538003,14624857,394.0450000000001,110.0,36000.0
SMA,11400,9960,10700,10700,0,0,0,0,0.0,0,0,0,0,9962471,9972889,0.0,0.0,0.0
SKG,13200,11500,12350,12350,12300,10100,123400,1523,12341.977309562399,12450,12300,0,0,2685916,32583871,1523.2650000000012,1234.0,12350.0
SJS,71700,62500,67100,67100,66300,900,11300,748,66194.69026548673,67100,65600,0,939,56633422,57427770,748.4,113.0,67100.0
SJF,1910,1670,1790,1790,0,0,0,0,0.0,0,0,0,0,38544627,38808000,0.0,0.0,0.0
SJD,16850,14650,15750,15750,15700,7100,105700,1662,15723.746452223273,15750,15700,0,29100,29445471,34499310,1662.7300000000037,1057.0,15750.0
SIP,77200,67200,72200,72200,71900,5000,350700,25160,71742.22982606216,72300,71500,46100,58311,98014626,103161367,25160.879999999976,3507.0,72200.0
SHP,38900,33900,36400,36400,36400,5500,33200,1209,36415.66265060241,36800,36400,0,0,0,0,1209.1649999999997,332.0,36400.0
SHI,15700,13700,14700,14700,14700,2000,104300,1527,14640.46021093001,14700,14600,0,2000,79124819,79466460,1527.98,1043.0,14700.0
SHB,11700,10200,10950,10950,10850,853300,16306500,177935,10911.906295035722,11000,10850,41104,303002,989482062,1098872562,177935.5149999981,163065.0,10950.0
SHA,4590,3990,4290,4290,4320,100,5900,24,4080.677966101695,4320,4070,0,0,16089877,16388870,24.076,59.0,4290.0
SGT,16350,14250,15300,15300,15450,2900,25700,391,15214.007782101167,15450,15000,0,0,0,0,391.89500000000015,257.0,15300.0
SGR,42900,37300,40100,40100,39150,3800,180400,7136,39556.54101995566,41000,37300,13400,11400,29110965,29400000,7136.194999999988,1804.0,40100.0
SGN,85000,74000,79500,79500,79000,200,4700,373,79361.70212765958,79900,79000,2300,1200,1003800,10074507,373.1000000000001,47.0,79500.0
SFI,33200,28900,31050,31050,31600,200,300,9,31500.0,31600,31300,0,0,9622420,12194652,9.45,3.0,31050.0
SFG,11550,10050,10800,10800,10800,200,200,2,10800.0,10800,10800,0,0,0,0,2.16,2.0,10800.0
SFC,22450,19550,21000,21000,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,21000.0
SCS,80800,70400,75600,75600,75200,16500,158900,12055,75865.32410320957,76500,75200,29900,120200,6441284,30623094,12055.789999999986,1589.0,75600.0
SCR,5780,5040,5410,5410,5420,226700,1077600,5794,5376.763177431329,5460,5320,8000,183500,195708797,197830887,5794.621000000007,10776.0,5410.0
SC5,19250,16750,18000,18000,0,0,0,0,0.0,0,0,0,0,6999690,7342429,0.0,0.0,19000.0
SBV,11150,9720,10450,10450,0,0,0,0,0.0,0,0,0,0,23341013,27366476,0.0,0.0,10500.0
SBT,13600,11900,12750,12750,12750,112800,820000,10486,12787.80487804878,12950,12700,1100,61189,594473320,762112326,10486.784999999987,8200.0,12750.0
SBG,11000,9580,10300,10300,10200,9600,243400,2461,10110.928512736236,10300,10050,0,84806,12153400,12500000,2461.849999999999,2434.0,10300.0
SBA,32450,28250,30350,30350,30300,300,5700,173,30350.877192982458,30850,30250,0,0,0,0,173.46500000000003,57.0,30350.0
SAV,22450,19550,21000,21000,20850,11700,80800,1685,20853.960396039605,21100,20500,0,0,7381,12594982,1685.945,808.0,21000.0
SAM,6990,6090,6540,6540,6500,17600,145400,950,6533.700137551582,6630,6500,0,3800,183993928,186180875,950.3549999999996,1454.0,6540.0
SAB,60700,52900,56800,56800,56600,63100,381200,21637,56760.23084994753,57000,56600,48000,127865,503065444,1282562372,21637.50000000001,3812.0,56800.0
S4A,39550,34450,37000,37000,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
REE,71400,62200,66800,66800,66300,15800,339500,22615,66612.66568483063,67000,66300,500,0,0,230796566,22615.239999999983,3395.0,66800.0
RDP,2400,2100,2250,2250,2240,17500,207400,465,2242.0443587270975,2270,2220,0,0,24354122,24534901,465.936,2074.0,2250.0
RAL,141200,122800,132000,132000,132000,100,5800,763,131551.72413793104,132200,131500,0,200,11241123,11773709,763.61,58.0,132000.0
QNP,38700,33700,36200,36200,36800,1000,1400,51,36428.57142857143,37150,36200,0,0,0,0,51.375,14.0,36200.0
QCG,7380,6420,6900,6900,6810,24500,286800,1963,6844.490934449093,7080,6700,0,92500,132389677,134813361,1963.8120000000006,2868.0,6900.0
PVT,29650,25850,27750,27750,27750,84800,1219100,34019,27905.01189402018,28200,27750,133500,312275,127820761,174446192,34019.51000000001,12191.0,27750.0
